subject,measurement,category,item_count,oracle_corr
340532,arousal,Object,49,0.10168237602203842
776707,arousal,Object,49,0.17992751859552525
163773,arousal,Object,49,0.6942668021107451
828434,arousal,Object,49,0.5946751382747876
343263,arousal,Object,49,0.5729114068043734
693082,arousal,Object,49,0.7017970359598017
192449,arousal,Object,49,0.6716227942743594
499276,arousal,Object,49,0.5627485529169345
735519,arousal,Object,49,0.718561857155378
568166,arousal,Object,49,0.4350665941301005
292734,arousal,Object,49,0.5379408560431764
831837,arousal,Object,49,0.11848057650487105
526289,arousal,Object,49,0.02527855096319948
674800,arousal,Object,49,0.4492112724850933
274687,arousal,Object,49,0.5291817424716604
693686,arousal,Object,49,0.5221559921563633
781864,arousal,Object,49,0.2685957574772279
462540,arousal,Object,49,0.5109163913207098
790389,arousal,Object,49,0.7297629679138444
401184,arousal,Object,49,0.8080936267286631
685980,arousal,Object,49,0.4276794055180536
250724,arousal,Object,49,0.6473280828252113
303277,arousal,Object,49,0.6639623800719441
780561,arousal,Object,49,0.6031867375934088
238472,arousal,Object,49,0.6855822381118851
139646,arousal,Object,49,0.5258762008723998
698549,arousal,Object,49,0.5965573823213299
399940,arousal,Object,49,0.3520586497037157
245601,arousal,Object,49,0.5411343869915304
631975,arousal,Object,49,-0.08839052560257223
360024,arousal,Object,49,-0.014905992861205726
532104,arousal,Object,49,0.5138885398234083
456917,arousal,Object,49,0.3001370367462318
244848,arousal,Object,49,0.3194189467478641
880450,arousal,Object,49,0.08276985478617656
570361,arousal,Object,49,0.5234148051954719
404261,arousal,Object,49,0.4819448472192585
878262,arousal,Object,49,0.6922261464755985
259089,arousal,Object,49,0.4075019297527891
873077,arousal,Object,49,0.3303952075115541
113462,arousal,Object,49,0.15115998370050304
778150,arousal,Object,49,0.6524557191616572
594350,arousal,Object,49,0.3133160443905585
227439,arousal,Object,49,0.5355898233541195
846059,arousal,Object,49,0.7771606633951677
289358,arousal,Object,49,0.7952889305088676
676917,arousal,Object,49,0.7882687218218521
632559,arousal,Object,49,0.6063265364408804
734091,arousal,Object,49,0.5278628253488967
707582,arousal,Object,49,0.33381029976941995
827191,arousal,Object,55,0.4670772634059531
891469,arousal,Object,55,0.785596944085509
705539,arousal,Object,55,0.7113162744195628
578805,arousal,Object,55,0.41905137128156117
473328,arousal,Object,55,0.2856484884985053
884391,arousal,Object,55,0.4256464136877754
120283,arousal,Object,55,0.7974974238694905
899429,arousal,Object,55,0.1222329950583477
349523,arousal,Object,55,0.7342007445978439
205991,arousal,Object,55,0.8505450587851655
385594,arousal,Object,55,0.6558786279238733
830763,arousal,Object,55,0.8333563356564814
133906,arousal,Object,55,0.4059922938952317
204440,arousal,Object,55,0.8541241328653343
199514,arousal,Object,55,-0.03131017690055496
554223,arousal,Object,55,0.18080282143585907
682223,arousal,Object,55,0.16510912335137104
545182,arousal,Object,55,0.8967751532985574
839838,arousal,Object,55,0.41703061733077756
814466,arousal,Object,55,0.7842052047575637
808013,arousal,Object,55,0.5609912744550575
177755,arousal,Object,55,0.29894439553105556
374920,arousal,Object,55,0.8687949985326842
219701,arousal,Object,55,0.3373002677796495
490115,arousal,Object,55,0.018518785451305465
864159,arousal,Object,55,0.39607901359612485
241413,arousal,Object,55,0.5223341642573172
304247,arousal,Object,55,0.6602140493191863
177940,arousal,Object,55,0.6321652146111653
266220,arousal,Object,55,0.16413894478876867
480681,arousal,Object,55,0.5238019885611606
898440,arousal,Object,55,0.608362833347451
491439,arousal,Object,55,0.8534116493925865
479223,arousal,Object,55,0.798823115361398
796141,arousal,Object,55,0.8162646753554594
579138,arousal,Object,55,0.633501963626853
469885,arousal,Object,55,0.6078521137039683
480985,arousal,Object,55,0.7609907709696994
208082,arousal,Object,55,0.5099618746354817
846631,arousal,Object,55,0.3896789129875463
271509,arousal,Object,55,0.8386085115008832
792696,arousal,Object,55,0.7654374161980811
225098,arousal,Object,55,0.8121571982168887
809776,arousal,Object,41,0.7450451342374375
784454,arousal,Object,41,0.9129132028036296
249611,arousal,Object,41,-0.22906810253550755
465498,arousal,Object,41,-0.06091528169152805
851011,arousal,Object,41,0.8855687088462234
242960,arousal,Object,41,0.7016390976695314
425410,arousal,Object,41,0.620318871999134
116786,arousal,Object,41,0.19381238913919857
214666,arousal,Object,41,0.14794983741383874
309438,arousal,Object,41,0.7377606794863755
505282,arousal,Object,41,0.746597372581525
477814,arousal,Object,41,0.05326881880988244
264168,arousal,Object,41,0.8715586067132365
701731,arousal,Object,41,
324166,arousal,Object,41,0.8297676082196405
165389,arousal,Object,41,-0.3074399184930476
754079,arousal,Object,41,0.47763900457442426
590582,arousal,Object,41,0.6222431196976272
420137,arousal,Object,41,0.7840920453333221
861008,arousal,Object,41,0.3844219967023565
896510,arousal,Object,41,0.5756054228718841
338766,arousal,Object,41,0.37081383586682315
392205,arousal,Object,41,-0.1473401538165791
213312,arousal,Object,41,0.8032065335796287
443389,arousal,Object,41,-0.4332039371505717
401213,arousal,Object,41,
509877,arousal,Object,41,0.8376817941150794
220910,arousal,Object,41,0.3412930777887386
551874,arousal,Object,41,0.762682496548926
296241,arousal,Object,41,0.5614416073371891
473617,arousal,Object,41,0.6218760494717298
567024,arousal,Object,41,0.7700229567300656
891007,arousal,Object,41,0.38872467502704255
277561,arousal,Object,41,0.2881202804993278
734634,arousal,Object,41,0.6926621400900038
